,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_Nm,torque_rpm,company,Model
1988,2017,919999,26766,Diesel,Dealer,Manual,First Owner,21.5,1497,108.5,5.0,260.0,1500,Tata,other_model
1989,2020,1900000,1600,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5.0,250.0,1600,other_company,other_model
1990,2018,2950000,46000,Diesel,Dealer,Manual,First Owner,15.8,2148,170.0,5.0,42.0,2000,Mercedes-Benz,New
1991,2019,1075000,23000,Diesel,Dealer,Manual,First Owner,17.3,1497,121.0,7.0,300.0,1750,Mahindra,other_model
1992,2017,600000,24522,Petrol,Dealer,Manual,First Owner,20.4,1197,81.8,5.0,113.0,4200,Maruti,Swift
1993,2017,3200000,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5.0,400.0,1750,BMW,other_model
1994,2019,2600000,11000,Diesel,Dealer,Automatic,First Owner,19.3,1968,141.0,5.0,320.0,1750,Skoda,other_model
1995,2016,839000,63000,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
1996,2019,635000,2000,Petrol,Dealer,Manual,First Owner,16.2,1199,74.0,5.0,110.0,3000,Volkswagen,Polo
1997,2014,550000,300000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,8.0,290.0,1800,Mahindra,Scorpio
1998,2011,180000,190000,Diesel,Individual,Manual,Third Owner,19.2,1461,65.0,5.0,16.0,2000,Mahindra,other_model
1999,2015,650000,80000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5.0,200.0,1750,Honda,City
2000,2011,350000,80000,Petrol,Individual,Manual,Second Owner,16.0,1198,90.0,5.0,110.0,480,Honda,Jazz
2001,2015,265000,54000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,90.0,3500,Maruti,Alto
2002,2018,330000,30000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,91.0,4250,Renault,KWID
2003,2019,395000,5000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7.0,101.0,3000,Maruti,Eeco
2004,2015,700000,58945,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7.0,240.0,1600,Mahindra,TUV
2005,2012,300000,90000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5.0,160.0,2000,Ford,Figo
2006,2011,650000,375000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8.0,20.4,1400,Toyota,Innova
2007,2013,625000,160000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7.0,200.0,1750,Maruti,Ertiga
2008,2014,425000,80000,Diesel,Individual,Manual,Second Owner,15.11,1598,103.6,5.0,250.0,1500,Volkswagen,Polo
2009,2004,55000,50000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4.0,59.0,2500,Maruti,800
2010,2015,250000,80000,Diesel,Individual,Manual,Second Owner,19.09,1405,69.01,5.0,135.0,2500,Tata,Indigo
2011,2015,459999,156975,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,9.0,195.0,1440,Mahindra,Bolero
2012,2017,1594000,5000,Diesel,Individual,Manual,First Owner,21.43,1364,86.79,5.0,205.0,1800,Toyota,other_model
2013,2014,300000,50000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5.0,108.5,5000,Chevrolet,other_model
2014,2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5.0,205.0,1750,Ford,EcoSport
2015,2013,484999,120000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9.0,290.0,1800,Mahindra,Scorpio
2016,2009,161000,120000,Diesel,Individual,Manual,Third Owner,14.0,2498,112.0,8.0,260.0,1800,Mahindra,Xylo
2017,2015,500000,58000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5.0,114.73,4000,Hyundai,i20
2018,2012,350000,50000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5.0,134.0,4000,Nissan,other_model
2019,2017,550000,40000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5.0,113.0,4200,Maruti,other_model
2020,2018,850000,7800,Petrol,Individual,Manual,First Owner,17.5,1199,88.7,5.0,110.0,4800,Honda,other_model
2021,2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2022,2011,950000,68000,Diesel,Individual,Manual,First Owner,13.1,2499,141.0,7.0,330.0,1800,Ford,other_model
2023,2015,423000,60000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7.0,130.0,4000,Maruti,Ertiga
2024,2005,90000,74000,Petrol,Individual,Manual,Second Owner,12.8,1396,85.0,5.0,12.0,3500,Tata,Indigo
2025,2011,350000,58000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7.0,320.0,1700,Tata,New
2026,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.0,998,66.1,5.0,90.0,3500,Maruti,other_model
2027,2015,450000,70000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5.0,112.0,4000,Ford,Figo
2028,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,111.7,4000,Hyundai,i10
2030,2016,511000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,219.7,1500,Hyundai,i20
2031,2018,850000,59000,Diesel,Individual,Manual,First Owner,24.2,1498,93.87,7.0,225.0,1500,Maruti,Ertiga
2032,2018,250000,110000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5.0,140.0,1800,Tata,Indica
2033,2020,420000,25000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5.0,90.0,3500,Maruti,Celerio
2034,2014,180000,55000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2035,2015,400000,25000,Diesel,Individual,Manual,First Owner,27.62,793,47.0,5.0,125.0,2000,Maruti,Celerio
2036,2009,150000,300000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,7.0,260.0,1800,Mahindra,Xylo
2037,2016,500000,143200,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5.0,215.0,1750,Ford,Figo
2038,2017,1689999,60000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5.0,350.0,1750,other_company,other_model
2039,2012,204999,120000,Diesel,Individual,Manual,First Owner,23.08,1461,63.1,5.0,160.0,2000,Nissan,other_model
2040,2014,459999,145000,Diesel,Individual,Manual,Second Owner,26.21,1248,88.5,5.0,200.0,1750,Maruti,Ciaz
2041,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,114.7,4000,Hyundai,i20
2042,2019,585000,8000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,113.75,4000,Hyundai,Grand
2043,2012,551000,170000,Diesel,Individual,Manual,First Owner,13.1,2499,141.0,7.0,330.0,1800,Ford,other_model
2044,2013,525000,100000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,190.0,2000,Maruti,Swift
2045,2012,160000,62000,Petrol,Individual,Manual,First Owner,14.0,796,35.0,5.0,6.1,3000,Maruti,other_model
2046,2014,825000,110000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,330.0,1600,Mahindra,XUV500
2048,2015,600000,80000,Diesel,Individual,Manual,Second Owner,13.58,2499,72.4,9.0,171.0,1800,Chevrolet,other_model
2049,2002,65000,80000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,78.0,4500,Maruti,Zen
2050,2013,550000,100000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,190.0,2000,Maruti,Swift
2051,2015,650000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9.0,180.0,1440,Mahindra,Bolero
2052,2019,750000,24000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5.0,190.0,2000,Maruti,Swift
2053,2017,380000,80000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6.0,190.0,1750,Mahindra,KUV
2054,2012,400000,138000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5.0,259.8,1900,Hyundai,Verna
2055,2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998,67.1,5.0,90.0,3500,Maruti,Wagon
2056,2017,750000,60000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7.0,240.0,1600,Mahindra,TUV
2057,2011,150000,80000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5.0,90.3,4200,Chevrolet,Spark
2058,2016,245000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2059,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5.0,200.0,1750,Tata,Manza
2060,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498,103.2,5.0,250.0,1500,Volkswagen,Vento
2061,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5.0,219.6,1750,Hyundai,i20
2062,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995,184.0,5.0,380.0,1750,BMW,other_model
2063,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5.0,90.0,3500,Maruti,Celerio
2064,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,330.0,1600,Mahindra,XUV500
2065,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995,184.0,5.0,380.0,1750,BMW,other_model
2066,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5.0,200.0,1750,Tata,Manza
2067,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498,103.2,5.0,250.0,1500,Volkswagen,Vento
2068,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5.0,219.6,1750,Hyundai,i20
2069,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995,184.0,5.0,380.0,1750,BMW,other_model
2070,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5.0,90.0,3500,Maruti,Celerio
2071,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,330.0,1600,Mahindra,XUV500
2072,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995,184.0,5.0,380.0,1750,BMW,other_model
2073,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5.0,200.0,1900,Nissan,other_model
2074,2015,800000,35000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5.0,200.0,1900,Nissan,other_model
2075,2011,350000,156000,Diesel,Individual,Manual,First Owner,11.57,2179,138.1,7.0,320.0,1700,Tata,New
2076,2013,200000,90000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2077,2008,150000,60000,Diesel,Individual,Manual,Third Owner,17.0,1405,70.0,5.0,13.5,2500,Tata,Indigo
2078,2016,800000,36000,Diesel,Individual,Manual,First Owner,19.01,1461,108.5,5.0,248.0,2250,Nissan,other_model
2079,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5.0,74.5,4000,Hyundai,EON
2080,2011,350000,160000,Diesel,Individual,Manual,First Owner,13.93,2179,138.0,7.0,320.0,1700,Tata,New
2081,2006,250000,185000,Diesel,Individual,Manual,First Owner,12.7,2609,116.6,9.0,28.3,1700,Mahindra,Scorpio
2082,2010,170000,110000,Diesel,Individual,Manual,Second Owner,17.0,1405,71.0,5.0,135.0,2500,Tata,Indica
2083,2018,395000,10800,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,72.0,4386,Renault,KWID
2084,2012,450000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,195.0,1400,Mahindra,Bolero
2085,2019,500000,15000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5.0,113.0,4200,Maruti,other_model
2086,2012,200000,67500,Diesel,Individual,Manual,First Owner,12.2,1948,68.0,10.0,115.0,2500,Tata,other_model
2087,2017,1200000,30000,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,7.0,400.0,1750,Tata,other_model
2088,2016,400000,50000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6.0,190.0,1750,Mahindra,KUV
2089,2016,650000,100000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7.0,240.0,1600,Mahindra,TUV
2090,2016,550000,150000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9.0,180.0,1440,Mahindra,Bolero
2091,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7.0,330.0,1600,Mahindra,XUV500
2092,2012,254999,30000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2093,2011,180000,60000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
2094,2010,160000,255000,Diesel,Individual,Manual,Second Owner,13.0,2489,95.0,8.0,220.0,1400,Mahindra,Xylo
2095,2008,225000,120000,Diesel,Individual,Manual,Second Owner,16.52,1991,123.7,5.0,305.0,2000,Chevrolet,other_model
2096,2015,270000,49900,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2097,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5.0,200.0,1750,Tata,Manza
2098,2015,225000,71850,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,104.0,4000,Datsun,GO
2099,2015,300000,95000,Diesel,Individual,Manual,Third Owner,21.2,1248,75.0,5.0,197.0,1750,Fiat,other_model
2100,2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298,85.8,5.0,114.0,4000,Maruti,Swift
2101,2011,180000,35000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5.0,74.5,4000,Hyundai,EON
2102,2015,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,115.0,4000,Maruti,Swift
2103,2007,300000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,7.0,180.0,1440,Mahindra,Bolero
2104,2015,900000,145000,Diesel,Individual,Manual,First Owner,22.7,1582,126.2,5.0,259.88,1900,Hyundai,other_model
2106,2018,1530000,40000,Diesel,Individual,Manual,First Owner,16.0,2179,138.0,7.0,330.0,1600,Mahindra,XUV500
2107,2015,590000,110000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5.0,190.0,2000,Maruti,Baleno
2108,2008,170000,112000,LPG,Individual,Manual,Second Owner,17.3,1061,57.5,5.0,7.8,4500,Maruti,Wagon
2109,2017,2600000,70000,Diesel,Individual,Automatic,First Owner,20.38,1968,143.0,5.0,320.0,1750,Audi,other_model
2110,2016,475000,110000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5.0,190.0,2000,Maruti,Ritz
2111,2018,700000,29000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5.0,190.24,1750,Hyundai,Grand
2112,2011,376000,60000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5.0,90.0,3500,Maruti,Wagon
2114,2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4.0,59.0,2500,Maruti,800
2115,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179,120.0,8.0,290.0,1800,Mahindra,Scorpio
2116,2016,390000,80000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,90.0,3500,Maruti,Wagon
2117,2012,725000,159000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7.0,20.4,1400,Toyota,Innova
2118,2012,325000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7.0,195.0,1400,Mahindra,Bolero
2119,2010,170000,75000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
2120,2010,215000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5.0,190.0,2000,Maruti,Swift
2121,2010,350000,110000,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,5.0,146.0,4800,Honda,City
2122,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995,62.0,5.0,90.3,4200,Chevrolet,Spark
2123,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5.0,74.5,4000,Hyundai,EON
2125,2014,335000,71000,Diesel,Dealer,Manual,First Owner,21.64,1461,84.8,5.0,200.0,2000,Nissan,other_model
2126,2011,475000,108000,Diesel,Dealer,Manual,First Owner,16.0,2179,140.0,7.0,330.0,1600,Mahindra,XUV500
2127,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,5.0,200.0,1750,Renault,Duster
2128,2018,650000,22000,Petrol,Individual,Manual,Second Owner,21.56,1462,103.25,5.0,138.0,4400,Maruti,Ciaz
2129,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,13.22,2967,241.4,5.0,580.0,1400,Audi,other_model
2130,2018,700000,30000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5.0,114.7,4000,Hyundai,i20
2131,2014,3000000,65000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7.0,550.0,1750,Audi,other_model
2132,2018,900000,60000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,7.0,200.0,1400,Mahindra,Scorpio
2133,2013,350000,80000,Diesel,Individual,Manual,First Owner,22.07,1199,73.9,5.0,180.0,2000,Volkswagen,Polo
2134,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997,218.0,5.0,196.0,5000,Honda,other_model
2135,2012,1850000,70000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7.0,550.0,1750,Audi,other_model
2136,2017,750000,51777,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
2137,2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179,115.0,5.0,400.0,2000,other_company,other_model
2138,2018,600000,20000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5.0,110.0,4800,Honda,Amaze
2139,2018,565000,19000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5.0,95.0,3000,Volkswagen,Polo
2140,2000,86000,46951,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5.0,71.0,3500,other_company,other_model
2141,2016,329000,19000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,104.0,4000,Datsun,GO
2142,2016,650000,50000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5.0,205.0,1750,Ford,EcoSport
2143,2015,822000,60000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,259.9,1900,Hyundai,Creta
2144,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5.0,248.0,2250,Renault,Duster
2145,2001,30000,10000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5.0,78.0,4500,Maruti,Zen
2146,2012,330000,50000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,190.0,2000,Maruti,Swift
2147,2014,300000,74537,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5.0,90.0,3500,Maruti,Wagon
2148,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586,103.3,5.0,145.0,4100,Maruti,SX4
2150,2010,90000,70000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5.0,90.3,4200,Chevrolet,Spark
2151,2010,200000,80000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,84.0,3500,Maruti,Wagon
2152,2016,550000,35000,Diesel,Individual,Manual,First Owner,24.4,1120,71.0,5.0,180.4,1750,Hyundai,Xcent
2153,2015,250000,23500,Petrol,Individual,Manual,First Owner,18.6,1199,76.8,5.0,106.5,4400,Chevrolet,Beat
2154,2017,975000,82000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5.0,200.0,1750,Honda,City
2155,2014,900000,100000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8.0,200.0,1200,Toyota,Innova
2156,2018,610000,15000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,114.7,4000,Hyundai,i20
2157,2017,620000,30000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5.0,190.0,2000,Maruti,Baleno
2158,2016,400000,30000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,114.0,4000,Hyundai,Grand
2159,2019,500000,11000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,5.0,90.0,3500,Maruti,Celerio
2160,2017,200000,140000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,7.0,104.0,4000,Datsun,GO
2161,2016,360000,110000,Diesel,Individual,Manual,First Owner,23.0,1248,88.7,5.0,200.0,1750,Tata,Zest
2162,2012,252000,48000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,90.0,3500,Maruti,Alto
2163,2012,280000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,190.0,2000,Maruti,Swift
2164,2018,509999,70000,Petrol,Individual,Manual,Second Owner,22.0,1197,81.8,5.0,113.0,4200,Maruti,Swift
2165,2016,1050000,58000,Diesel,Individual,Manual,First Owner,15.4,1997,120.0,7.0,280.0,1800,Mahindra,Scorpio
2166,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061,57.5,5.0,7.8,4500,Maruti,Wagon
2167,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,78.0,4500,Maruti,Zen
2168,2010,320000,40000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,7.0,260.0,1800,Mahindra,Xylo
2169,2013,520000,110000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9.0,290.0,1800,Mahindra,Scorpio
2170,2007,250000,80000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7.0,320.0,1700,Tata,New
2171,2017,725000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
2172,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,195.0,1400,Mahindra,Bolero
2173,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5.0,114.0,3500,Tata,Tiago
2174,2011,235000,100000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,190.0,2000,Maruti,Swift
2175,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5.0,190.0,2000,Maruti,Swift
2176,2010,131000,80000,Petrol,Individual,Manual,Third Owner,19.81,1086,68.05,5.0,99.04,4500,Hyundai,i10
2177,2016,450000,85000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5.0,200.0,1750,Honda,Amaze
2178,2016,750000,83000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
2179,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2180,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,67.0,5.0,84.0,3500,Maruti,Wagon
2181,2014,500000,100000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,195.0,1400,Mahindra,Bolero
2182,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5.0,190.0,2000,Maruti,Swift
2183,2008,128000,19000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
2184,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,5.0,146.0,4800,Honda,City
2185,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,195.0,1400,Mahindra,Bolero
2186,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7.0,195.0,1400,Mahindra,Bolero
2187,2012,560000,40000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,5.0,146.0,4800,Honda,City
2189,2016,400000,25000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5.0,90.0,3500,Maruti,Celerio
2190,2012,200000,29500,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,90.0,3500,Maruti,Alto
2191,2018,950000,13887,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,151.0,4850,Hyundai,Verna
2192,2016,300000,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2193,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25.17,799,53.3,5.0,72.0,4386,Renault,KWID
2194,2012,220000,100000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,69.0,3500,Maruti,Alto
2195,2011,130000,60000,Petrol,Individual,Manual,Second Owner,14.49,1399,92.7,5.0,127.0,3500,Chevrolet,other_model
2196,2016,595000,60000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5.0,219.7,1500,Hyundai,i20
2197,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5.0,135.4,2500,Tata,Indica
2198,2017,680000,13500,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5.0,150.0,4500,Ford,EcoSport
2199,2013,280000,52000,Diesel,Individual,Manual,First Owner,20.3,1248,75.0,5.0,197.0,1750,Fiat,other_model
2200,2017,530000,30000,Petrol,Individual,Manual,Second Owner,21.4,1197,83.1,5.0,115.0,4000,Maruti,Baleno
2201,2017,610000,14000,Petrol,Individual,Manual,First Owner,19.1,1197,82.0,5.0,114.0,4000,Hyundai,Xcent
2202,2014,500000,90000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,7.0,320.0,1500,Tata,other_model
2203,2018,500000,50000,Diesel,Individual,Manual,First Owner,24.7,1047,69.0,5.0,140.0,1800,Tata,other_model
2204,2010,250000,120000,Diesel,Individual,Manual,Second Owner,13.0,2489,95.0,8.0,220.0,1400,Mahindra,Xylo
2205,2018,325000,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5.0,74.5,4000,Hyundai,EON
2206,2018,550000,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,115.0,4000,Maruti,Baleno
2207,2018,720000,25000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5.0,130.0,4000,Maruti,Ciaz
2208,2017,950000,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,151.0,4850,Hyundai,Verna
2209,2013,350000,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,5.0,190.0,2000,Maruti,Swift
2210,2018,500000,40000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,113.75,4000,Hyundai,Grand
2211,2012,380000,60000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5.0,190.0,2000,Maruti,Swift
2212,2015,380000,50000,Petrol,Individual,Automatic,First Owner,16.9,1197,82.0,5.0,114.0,4000,Hyundai,Xcent
2213,2017,900000,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,151.0,4850,Hyundai,Verna
2214,2017,295000,35000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,69.0,3500,Maruti,Alto
2215,2016,640000,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5.0,200.0,1750,Maruti,Ciaz
2216,2018,790000,60000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5.0,260.0,1500,Tata,other_model
2217,2015,625000,20000,Petrol,Individual,Manual,First Owner,17.01,1591,121.4,5.0,154.9,4200,Hyundai,Verna
2218,2017,604000,30000,Petrol,Individual,Manual,Second Owner,17.0,1497,121.36,5.0,150.0,4500,Ford,EcoSport
2219,2015,315000,29000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,90.0,3500,Maruti,Alto
